Date,Number,Date,delta
2020-10-03,7383899,2020-10-03,49481
2020-10-04,7419442,2020-10-04,35543
2020-10-05,7457757,2020-10-05,38315
2020-10-06,7503140,2020-10-06,45383
2020-10-07,7554267,2020-10-07,51127
2020-10-08,7613291,2020-10-08,59024
2020-10-09,7669967,2020-10-09,56676
2020-10-10,7725456,2020-10-10,55489
2020-10-11,7772121,2020-10-11,46665
2020-10-12,7813698,2020-10-12,41577
2020-10-13,7865263,2020-10-13,51565
2020-10-14,7924557,2020-10-14,59294
2020-10-15,7989616,2020-10-15,65059
2020-10-16,8058746,2020-10-16,69130
2020-10-17,8116053,2020-10-17,57307
2020-10-18,8166861,2020-10-18,50808
2020-10-19,8233937,2020-10-19,67076
2020-10-20,8295638,2020-10-20,61701
2020-10-21,8358792,2020-10-21,63154
2020-10-22,8434997,2020-10-22,76205
2020-10-23,8517523,2020-10-23,82526
2020-10-24,8600811,2020-10-24,83288
2020-10-25,8663123,2020-10-25,62312
2020-10-26,8729835,2020-10-26,66712
2020-10-27,8806856,2020-10-27,77021
2020-10-28,8886178,2020-10-28,79322
2020-10-29,8977159,2020-10-29,90981
2020-10-30,9077231,2020-10-30,100072
2020-10-31,9167578,2020-10-31,90347
2020-11-01,9272790,2020-11-01,105212
2020-11-02,9356848,2020-11-02,84058
2020-11-03,9484593,2020-11-03,127745
2020-11-04,9588703,2020-11-04,104110
2020-11-05,9718587,2020-11-05,129884
2020-11-06,9846464,2020-11-06,127877
2020-11-07,9977772,2020-11-07,131308
2020-11-08,10092536,2020-11-08,114764
2020-11-09,10211856,2020-11-09,119320
2020-11-10,10351878,2020-11-10,140022
2020-11-11,10500000,2020-11-11,148122
2020-11-12,10662955,2020-11-12,162955
2020-11-13,10843985,2020-11-13,181030
2020-11-14,11015041,2020-11-14,171056
2020-11-15,11152060,2020-11-15,137019
2020-11-16,11312847,2020-11-16,160787
2020-11-17,11476626,2020-11-17,163779
2020-11-18,11650148,2020-11-18,173522
2020-11-19,11841871,2020-11-19,191723
2020-11-20,12043059,2020-11-20,201188
2020-11-21,12223927,2020-11-21,180868
2020-11-22,12370147,2020-11-22,146220
2020-11-23,12543324,2020-11-23,173177
2020-11-24,12720653,2020-11-24,177329
2020-11-25,12905298,2020-11-25,184645
2020-11-26,13021515,2020-11-26,116217
2020-11-27,13226451,2020-11-27,204936
2020-11-28,13384075,2020-11-28,157624
2020-11-29,13524480,2020-11-29,140405
2020-11-30,13681218,2020-11-30,156738
2020-12-01,13875057,2020-12-01,193839
2020-12-02,14079202,2020-12-02,204145
2020-12-03,14303710,2020-12-03,224508
2020-12-04,14538416,2020-12-04,234706
2020-12-05,14759133,2020-12-05,220717
2020-12-06,14937723,2020-12-06,178590
2020-12-07,15129267,2020-12-07,191544
2020-12-08,15359791,2020-12-08,230524
2020-12-09,15581327,2020-12-09,221536
2020-12-10,15815581,2020-12-10,234254
2020-12-11,16056302,2020-12-11,240721
2020-12-12,16276348,2020-12-12,220046
2020-12-13,16463227,2020-12-13,186879
2020-12-14,16665174,2020-12-14,201947
2020-12-15,16886630,2020-12-15,221456
2020-12-16,17127062,2020-12-16,240432
2020-12-17,17364595,2020-12-17,237533
2020-12-18,17613077,2020-12-18,248482
2020-12-19,17814222,2020-12-19,201145
2020-12-20,17999527,2020-12-20,185305
2020-12-21,18190799,2020-12-21,191272
2020-12-22,18392024,2020-12-22,201225
2020-12-23,18617449,2020-12-23,225425
2020-12-24,18822709,2020-12-24,205260
2020-12-25,18930694,2020-12-25,107985
2020-12-26,19149187,2020-12-26,218493
2020-12-27,19303663,2020-12-27,154476
2020-12-28,19471624,2020-12-28,167961
2020-12-29,19672858,2020-12-29,201234
2020-12-30,19894606,2020-12-30,221748
2020-12-31,20153407,2020-12-31,258801
2021-01-01,20318085,2021-01-01,164678
2021-01-02,20614548,2021-01-02,296463
2021-01-03,20817609,2021-01-03,203061
2021-01-04,21000263,2021-01-04,182654
2021-01-05,21231487,2021-01-05,231224
2021-01-06,21487814,2021-01-06,256327
2021-01-07,21776472,2021-01-07,288658
2021-01-08,22079480,2021-01-08,303008
2021-01-09,22338581,2021-01-09,259101
2021-01-10,22551280,2021-01-10,212699
2021-01-11,22763308,2021-01-11,212028
2021-01-12,22981721,2021-01-12,218413
2021-01-13,23211213,2021-01-13,229492
2021-01-14,23449840,2021-01-14,238627
2021-01-15,23696118,2021-01-15,246278
2021-01-16,23904210,2021-01-16,208092
2021-01-17,24080564,2021-01-17,176354
2021-01-18,24221315,2021-01-18,140751
2021-01-19,24386731,2021-01-19,165416
2021-01-20,24572027,2021-01-20,185296
2021-01-21,24764028,2021-01-21,192001
2021-01-22,24953381,2021-01-22,189353
2021-01-23,25127612,2021-01-23,174231
2021-01-24,25265206,2021-01-24,137594
2021-01-25,25408108,2021-01-25,142902
2021-01-26,25552460,2021-01-26,144352
2021-01-27,25707757,2021-01-27,155297
2021-01-28,25874333,2021-01-28,166576
2021-01-29,26041097,2021-01-29,166764
2021-01-30,26185812,2021-01-30,144715
2021-01-31,26300968,2021-01-31,115156
2021-02-01,26430576,2021-02-01,129608
2021-02-02,26544805,2021-02-02,114229
2021-02-03,26667875,2021-02-03,123070
2021-02-04,26791814,2021-02-04,123939
2021-02-05,26923109,2021-02-05,131295
2021-02-06,27033851,2021-02-06,110742
2021-02-07,27125342,2021-02-07,91491
2021-02-08,27211264,2021-02-08,85922
2021-02-09,27305453,2021-02-09,94189
2021-02-10,27401321,2021-02-10,95868
2021-02-11,27507454,2021-02-11,106133
2021-02-12,27607264,2021-02-12,99810
2021-02-13,27695855,2021-02-13,88591
2021-02-14,27762171,2021-02-14,66316
2021-02-15,27816631,2021-02-15,54460
2021-02-16,27875792,2021-02-16,59161
2021-02-17,27945834,2021-02-17,70042
2021-02-18,28017130,2021-02-18,71296
2021-02-19,28095265,2021-02-19,78135
2021-02-20,28168390,2021-02-20,73125
2021-02-21,28226147,2021-02-21,57757
2021-02-22,28281294,2021-02-22,55147
2021-02-23,28353211,2021-02-23,71917
2021-02-24,28428219,2021-02-24,75008
2021-02-25,28506209,2021-02-25,77990
2021-02-26,28583890,2021-02-26,77681
2021-02-27,28649627,2021-02-27,65737
2021-02-28,28701621,2021-02-28,51994
2021-03-01,28757042,2021-03-01,55421
2021-03-02,28814006,2021-03-02,56964
2021-03-03,28881157,2021-03-03,67151
2021-03-04,28949409,2021-03-04,68252
2021-03-05,29016334,2021-03-05,66925
2021-03-06,29075178,2021-03-06,58844
2021-03-07,29117203,2021-03-07,42025
2021-03-08,29161857,2021-03-08,44654
2021-03-09,29217819,2021-03-09,55962
2021-03-10,29275991,2021-03-10,58172
2021-03-11,29338766,2021-03-11,62775
2021-03-12,29400372,2021-03-12,61606
2021-03-13,29453931,2021-03-13,53559
2021-03-14,29492629,2021-03-14,38698
2021-03-15,29547870,2021-03-15,55241
2021-03-16,29602187,2021-03-16,54317
2021-03-17,29661581,2021-03-17,59394
2021-03-18,29721933,2021-03-18,60352
2021-03-19,29783930,2021-03-19,61997
2021-03-20,29840560,2021-03-20,56630
2021-03-21,29875168,2021-03-21,34608
2021-03-22,29925277,2021-03-22,50109
2021-03-23,29978671,2021-03-23,53394
2021-03-24,30065443,2021-03-24,86772
2021-03-25,30133300,2021-03-25,67857
2021-03-26,30210764,2021-03-26,77464
2021-03-27,30274592,2021-03-27,63828
2021-03-28,30318223,2021-03-28,43631
2021-03-29,30386552,2021-03-29,68329
2021-03-30,30447766,2021-03-30,61214
2021-03-31,30514599,2021-03-31,66833
2021-04-01,30593758,2021-04-01,79159
2021-04-02,30664664,2021-04-02,70906
2021-04-03,30728418,2021-04-03,63754
2021-04-04,30764589,2021-04-04,36171
2021-04-05,30839424,2021-04-05,74835
2021-04-06,30900319,2021-04-06,60895
2021-04-07,30975322,2021-04-07,75003
2021-04-08,31055433,2021-04-08,80111
2021-04-09,31139621,2021-04-09,84188
2021-04-10,31208269,2021-04-10,68648
2021-04-11,31254338,2021-04-11,46069
2021-04-12,31322579,2021-04-12,68241
2021-04-13,31400634,2021-04-13,78055
2021-04-14,31476253,2021-04-14,75619
2021-04-15,31550222,2021-04-15,73969
2021-04-16,31630453,2021-04-16,80231
2021-04-17,31683798,2021-04-17,53345
2021-04-18,31726371,2021-04-18,42573
2021-04-19,31793519,2021-04-19,67148
2021-04-20,31854271,2021-04-20,60752
2021-04-21,31918063,2021-04-21,63792
2021-04-22,31984543,2021-04-22,66480
2021-04-23,32047626,2021-04-23,63083
2021-04-24,32101263,2021-04-24,53637
2021-04-25,32134243,2021-04-25,32980
2021-04-26,32180714,2021-04-26,46471
2021-04-27,32231164,2021-04-27,50450
2021-04-28,32286420,2021-04-28,55256
2021-04-29,32344919,2021-04-29,58499
2021-04-30,32403009,2021-04-30,58090
2021-05-01,32449242,2021-05-01,46233
2021-05-02,32478988,2021-05-02,29746
2021-05-03,32528524,2021-05-03,49536
2021-05-04,32568609,2021-05-04,40085
2021-05-05,32613835,2021-05-05,45226
2021-05-06,32661613,2021-05-06,47778
2021-05-07,32709226,2021-05-07,47613
2021-05-08,32743468,2021-05-08,34242
2021-05-09,32765338,2021-05-09,21870
2021-05-10,32801148,2021-05-10,35810
2021-05-11,32834742,2021-05-11,33594
2021-05-12,32870655,2021-05-12,35913
2021-05-13,32909594,2021-05-13,38939
2021-05-14,32951204,2021-05-14,41610
2021-05-15,32980549,2021-05-15,29345
2021-05-16,32997775,2021-05-16,17226
2021-05-17,33026147,2021-05-17,28372
2021-05-18,33053568,2021-05-18,27421
2021-05-19,33082846,2021-05-19,29278
2021-05-20,33113019,2021-05-20,30173
2021-05-21,33141186,2021-05-21,28167
2021-05-22,33161623,2021-05-22,20437
2021-05-23,33174939,2021-05-23,13316
2021-05-24,33199936,2021-05-24,24997
2021-05-25,33222570,2021-05-25,22634
2021-05-26,33246937,2021-05-26,24367
2021-05-27,33274280,2021-05-27,27343
2021-05-28,33296016,2021-05-28,21736
2021-05-29,33308485,2021-05-29,12469
2021-05-30,33315411,2021-05-30,6926
2021-05-31,33321318,2021-05-31,5907
2021-06-01,33343437,2021-06-01,22119
2021-06-02,33360362,2021-06-02,16925
2021-06-03,33379553,2021-06-03,19191
2021-06-04,33396464,2021-06-04,16911
2021-06-05,33410799,2021-06-05,14335
2021-06-06,33416473,2021-06-06,5674
2021-06-07,33431582,2021-06-07,15109
2021-06-08,33444414,2021-06-08,12832
2021-06-09,33463318,2021-06-09,18904
2021-06-10,33477742,2021-06-10,14424
2021-06-11,33502472,2021-06-11,24730
2021-06-12,33511160,2021-06-12,8688
2021-06-13,33516317,2021-06-13,5157
2021-06-14,33528681,2021-06-14,12364
2021-06-15,33539511,2021-06-15,10830
2021-06-16,33552066,2021-06-16,12555
2021-06-17,33562687,2021-06-17,10621
2021-06-18,33583888,2021-06-18,21201
2021-06-19,33592377,2021-06-19,8489
2021-06-20,33596833,2021-06-20,4456
